nivel,frequencia,frequencia_relativa,frequencia_acumulada
0,0,0.00000000,0
1,0,0.00000000,0
2,0,0.00000000,0
3,0,0.00000000,0
4,0,0.00000000,0
5,0,0.00000000,0
6,0,0.00000000,0
7,0,0.00000000,0
8,0,0.00000000,0
9,0,0.00000000,0
10,0,0.00000000,0
11,0,0.00000000,0
12,0,0.00000000,0
13,1,0.00000156,1
14,6,0.00000937,7
15,12,0.00001875,19
16,64,0.00010000,83
17,223,0.00034844,306
18,453,0.00070781,759
19,441,0.00068906,1200
20,1200,0.00187500,2400
21,1718,0.00268438,4118
22,2218,0.00346562,6336
23,2601,0.00406406,8937
24,2914,0.00455312,11851
25,3023,0.00472344,14874
26,3142,0.00490937,18016
27,3557,0.00555781,21573
28,3472,0.00542500,25045
29,5215,0.00814844,30260
30,3390,0.00529688,33650
31,3436,0.00536875,37086
32,4656,0.00727500,41742
33,3270,0.00510938,45012
34,3303,0.00516094,48315
35,4388,0.00685625,52703
36,3243,0.00506719,55946
37,4259,0.00665469,60205
38,4407,0.00688594,64612
39,3188,0.00498125,67800
40,4019,0.00627969,71819
41,4101,0.00640781,75920
42,3019,0.00471719,78939
43,3706,0.00579062,82645
44,3671,0.00573594,86316
45,3539,0.00552969,89855
46,3429,0.00535781,93284
47,3202,0.00500312,96486
48,2966,0.00463437,99452
49,2913,0.00455156,102365
50,2854,0.00445937,105219
51,2793,0.00436406,108012
52,2563,0.00400469,110575
53,2600,0.00406250,113175
54,2506,0.00391562,115681
55,2747,0.00429219,118428
56,2410,0.00376562,120838
57,2349,0.00367031,123187
58,2505,0.00391406,125692
59,2373,0.00370781,128065
60,2576,0.00402500,130641
61,2512,0.00392500,133153
62,2522,0.00394062,135675
63,2298,0.00359063,137973
64,2344,0.00366250,140317
65,2297,0.00358906,142614
66,2370,0.00370312,144984
67,2309,0.00360781,147293
68,2358,0.00368438,149651
69,2105,0.00328906,151756
70,2247,0.00351094,154003
71,2209,0.00345156,156212
72,2199,0.00343594,158411
73,2080,0.00325000,160491
74,2046,0.00319688,162537
75,1945,0.00303906,164482
76,1954,0.00305312,166436
77,1981,0.00309531,168417
78,2076,0.00324375,170493
79,1858,0.00290312,172351
80,1834,0.00286563,174185
81,1887,0.00294844,176072
82,1903,0.00297344,177975
83,1756,0.00274375,179731
84,1718,0.00268438,181449
85,1679,0.00262344,183128
86,1664,0.00260000,184792
87,1615,0.00252344,186407
88,1812,0.00283125,188219
89,1650,0.00257813,189869
90,1583,0.00247344,191452
91,1655,0.00258594,193107
92,1670,0.00260938,194777
93,1611,0.00251719,196388
94,1804,0.00281875,198192
95,1598,0.00249687,199790
96,1505,0.00235156,201295
97,1697,0.00265156,202992
98,1508,0.00235625,204500
99,1358,0.00212188,205858
100,1534,0.00239688,207392
101,4652,0.00726875,212044
102,5861,0.00915781,217905
103,5329,0.00832656,223234
104,5774,0.00902188,229008
105,6891,0.01076719,235899
106,7863,0.01228594,243762
107,7974,0.01245937,251736
108,7416,0.01158750,259152
109,7542,0.01178437,266694
110,7739,0.01209219,274433
111,7743,0.01209844,282176
112,6170,0.00964062,288346
113,5650,0.00882812,293996
114,5463,0.00853594,299459
115,5809,0.00907656,305268
116,5671,0.00886094,310939
117,5658,0.00884062,316597
118,5764,0.00900625,322361
119,6342,0.00990937,328703
120,6951,0.01086094,335654
121,6847,0.01069844,342501
122,7359,0.01149844,349860
123,6249,0.00976406,356109
124,6650,0.01039063,362759
125,6157,0.00962031,368916
126,5432,0.00848750,374348
127,5336,0.00833750,379684
128,5186,0.00810312,384870
129,5107,0.00797969,389977
130,5076,0.00793125,395053
131,5116,0.00799375,400169
132,5282,0.00825313,405451
133,4767,0.00744844,410218
134,4646,0.00725938,414864
135,4752,0.00742500,419616
136,4544,0.00710000,424160
137,4262,0.00665938,428422
138,4101,0.00640781,432523
139,4121,0.00643906,436644
140,4110,0.00642187,440754
141,4178,0.00652813,444932
142,4290,0.00670312,449222
143,3771,0.00589219,452993
144,3724,0.00581875,456717
145,3739,0.00584219,460456
146,3506,0.00547813,463962
147,3506,0.00547813,467468
148,3290,0.00514063,470758
149,3370,0.00526563,474128
150,3355,0.00524219,477483
151,3488,0.00545000,480971
152,3311,0.00517344,484282
153,3557,0.00555781,487839
154,3221,0.00503281,491060
155,3287,0.00513594,494347
156,2870,0.00448437,497217
157,2995,0.00467969,500212
158,2842,0.00444063,503054
159,2754,0.00430312,505808
160,2932,0.00458125,508740
161,2925,0.00457031,511665
162,2793,0.00436406,514458
163,2666,0.00416563,517124
164,2585,0.00403906,519709
165,2575,0.00402344,522284
166,2662,0.00415937,524946
167,2496,0.00390000,527442
168,2578,0.00402812,530020
169,2427,0.00379219,532447
170,2497,0.00390156,534944
171,2499,0.00390469,537443
172,2416,0.00377500,539859
173,2323,0.00362969,542182
174,2464,0.00385000,544646
175,2500,0.00390625,547146
176,2485,0.00388281,549631
177,2423,0.00378594,552054
178,2561,0.00400156,554615
179,2204,0.00344375,556819
180,2055,0.00321094,558874
181,2162,0.00337813,561036
182,2167,0.00338594,563203
183,2375,0.00371094,565578
184,2192,0.00342500,567770
185,2035,0.00317969,569805
186,2015,0.00314844,571820
187,1838,0.00287187,573658
188,1709,0.00267031,575367
189,1978,0.00309063,577345
190,1777,0.00277656,579122
191,1914,0.00299062,581036
192,1841,0.00287656,582877
193,1867,0.00291719,584744
194,1745,0.00272656,586489
195,1621,0.00253281,588110
196,1639,0.00256094,589749
197,1807,0.00282344,591556
198,1689,0.00263906,593245
199,1689,0.00263906,594934
200,1874,0.00292813,596808
201,1621,0.00253281,598429
202,1507,0.00235469,599936
203,1620,0.00253125,601556
204,1723,0.00269219,603279
205,1605,0.00250781,604884
206,1479,0.00231094,606363
207,1260,0.00196875,607623
208,1390,0.00217188,609013
209,1447,0.00226094,610460
210,1332,0.00208125,611792
211,1260,0.00196875,613052
212,1359,0.00212344,614411
213,1328,0.00207500,615739
214,966,0.00150938,616705
215,1226,0.00191563,617931
216,1452,0.00226875,619383
217,1350,0.00210938,620733
218,1379,0.00215469,622112
219,1507,0.00235469,623619
220,2004,0.00313125,625623
221,2399,0.00374844,628022
222,2138,0.00334062,630160
223,1586,0.00247812,631746
224,1427,0.00222969,633173
225,1380,0.00215625,634553
226,1147,0.00179219,635700
227,1221,0.00190781,636921
228,628,0.00098125,637549
229,465,0.00072656,638014
230,360,0.00056250,638374
231,364,0.00056875,638738
232,216,0.00033750,638954
233,140,0.00021875,639094
234,154,0.00024063,639248
235,136,0.00021250,639384
236,153,0.00023906,639537
237,100,0.00015625,639637
238,101,0.00015781,639738
239,64,0.00010000,639802
240,72,0.00011250,639874
241,69,0.00010781,639943
242,49,0.00007656,639992
243,8,0.00001250,640000
244,0,0.00000000,640000
245,0,0.00000000,640000
246,0,0.00000000,640000
247,0,0.00000000,640000
248,0,0.00000000,640000
249,0,0.00000000,640000
250,0,0.00000000,640000
251,0,0.00000000,640000
252,0,0.00000000,640000
253,0,0.00000000,640000
254,0,0.00000000,640000
255,0,0.00000000,640000
