nivel,frequencia_R,frequencia_G,frequencia_B,relativa_R,relativa_G,relativa_B
0,0,0,0,0.00000000,0.00000000,0.00000000
1,0,0,0,0.00000000,0.00000000,0.00000000
2,0,0,0,0.00000000,0.00000000,0.00000000
3,0,0,0,0.00000000,0.00000000,0.00000000
4,0,0,0,0.00000000,0.00000000,0.00000000
5,0,0,0,0.00000000,0.00000000,0.00000000
6,0,0,0,0.00000000,0.00000000,0.00000000
7,0,0,0,0.00000000,0.00000000,0.00000000
8,0,0,0,0.00000000,0.00000000,0.00000000
9,1,0,0,0.00000156,0.00000000,0.00000000
10,19,0,0,0.00002969,0.00000000,0.00000000
11,69,0,0,0.00010781,0.00000000,0.00000000
12,219,0,0,0.00034219,0.00000000,0.00000000
13,475,1,0,0.00074219,0.00000156,0.00000000
14,1205,8,0,0.00188281,0.00001250,0.00000000
15,1829,16,0,0.00285781,0.00002500,0.00000000
16,2645,77,0,0.00413281,0.00012031,0.00000000
17,3031,254,0,0.00473594,0.00039687,0.00000000
18,3555,446,0,0.00555469,0.00069688,0.00000000
19,3558,583,0,0.00555938,0.00091094,0.00000000
20,4273,1130,0,0.00667656,0.00176563,0.00000000
21,4878,1759,0,0.00762188,0.00274844,0.00000000
22,5527,2402,1,0.00863594,0.00375312,0.00000156
23,4558,2876,1,0.00712187,0.00449375,0.00000156
24,4928,2983,0,0.00770000,0.00466094,0.00000000
25,4783,3308,5,0.00747344,0.00516875,0.00000781
26,4062,3045,7,0.00634688,0.00475781,0.00001094
27,5564,3270,40,0.00869375,0.00510938,0.00006250
28,4987,3570,60,0.00779219,0.00557812,0.00009375
29,5068,4768,174,0.00791875,0.00745000,0.00027187
30,5515,3394,273,0.00861719,0.00530312,0.00042656
31,4452,3601,249,0.00695625,0.00562656,0.00038906
32,4638,4578,462,0.00724687,0.00715312,0.00072187
33,4822,3316,415,0.00753438,0.00518125,0.00064844
34,4353,3502,751,0.00680156,0.00547188,0.00117344
35,4586,4212,1024,0.00716563,0.00658125,0.00160000
36,4157,3370,1163,0.00649531,0.00526563,0.00181719
37,3877,4254,1107,0.00605781,0.00664688,0.00172969
38,3733,4238,1325,0.00583281,0.00662188,0.00207031
39,3438,3284,1641,0.00537187,0.00513125,0.00256406
40,3469,4062,1749,0.00542031,0.00634688,0.00273281
41,3320,3949,1821,0.00518750,0.00617031,0.00284531
42,3120,3072,1776,0.00487500,0.00480000,0.00277500
43,2873,3703,1962,0.00448906,0.00578594,0.00306563
44,3210,3609,2323,0.00501563,0.00563906,0.00362969
45,3130,3520,2715,0.00489063,0.00550000,0.00424219
46,3009,3412,2607,0.00470156,0.00533125,0.00407344
47,3240,3184,3093,0.00506250,0.00497500,0.00483281
48,2944,2889,3227,0.00460000,0.00451406,0.00504219
49,2982,2863,2429,0.00465938,0.00447344,0.00379531
50,2901,2764,2620,0.00453281,0.00431875,0.00409375
51,2622,2788,2729,0.00409687,0.00435625,0.00426406
52,2705,2555,2107,0.00422656,0.00399219,0.00329219
53,2719,2548,2694,0.00424844,0.00398125,0.00420937
54,2717,2507,2217,0.00424531,0.00391719,0.00346406
55,2657,2754,2224,0.00415156,0.00430312,0.00347500
56,2572,2394,2576,0.00401875,0.00374063,0.00402500
57,2451,2359,2044,0.00382969,0.00368594,0.00319375
58,2444,2505,2764,0.00381875,0.00391406,0.00431875
59,2380,2387,2209,0.00371875,0.00372969,0.00345156
60,2323,2563,2543,0.00362969,0.00400469,0.00397344
61,2201,2519,2456,0.00343906,0.00393594,0.00383750
62,2110,2532,2401,0.00329687,0.00395625,0.00375156
63,2133,2304,2694,0.00333281,0.00360000,0.00420937
64,2101,2279,2369,0.00328281,0.00356094,0.00370156
65,2014,2289,2489,0.00314687,0.00357656,0.00388906
66,2049,2300,2562,0.00320156,0.00359375,0.00400312
67,1918,2320,2460,0.00299687,0.00362500,0.00384375
68,1928,2347,2732,0.00301250,0.00366719,0.00426875
69,1915,2089,2380,0.00299219,0.00326406,0.00371875
70,1990,2287,2461,0.00310938,0.00357344,0.00384531
71,1874,2213,2579,0.00292813,0.00345781,0.00402969
72,1915,2212,2383,0.00299219,0.00345625,0.00372344
73,1929,2081,2325,0.00301406,0.00325156,0.00363281
74,1777,2050,2225,0.00277656,0.00320312,0.00347656
75,1851,1954,2213,0.00289219,0.00305312,0.00345781
76,1685,1885,2165,0.00263281,0.00294531,0.00338281
77,1695,1971,2058,0.00264844,0.00307969,0.00321563
78,5323,2092,2112,0.00831719,0.00326875,0.00330000
79,7625,1853,2005,0.01191406,0.00289531,0.00313281
80,7365,1714,1889,0.01150781,0.00267812,0.00295156
81,7101,1711,1894,0.01109531,0.00267344,0.00295938
82,8825,1841,1965,0.01378906,0.00287656,0.00307031
83,8124,1728,1934,0.01269375,0.00270000,0.00302187
84,9848,1766,1663,0.01538750,0.00275938,0.00259844
85,8243,1577,1894,0.01287969,0.00246406,0.00295938
86,8061,1732,1777,0.01259531,0.00270625,0.00277656
87,6935,1616,1794,0.01083594,0.00252500,0.00280313
88,6990,1711,1792,0.01092187,0.00267344,0.00280000
89,6163,1731,1849,0.00962969,0.00270469,0.00288906
90,5532,1537,1891,0.00864375,0.00240156,0.00295469
